0:0:0:0:0:0:0:1 - - [23/May/2018:18:04:52 -0500] "GET /proyecto-chat/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:04:52 -0500] "GET /proyecto-chat/js/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:04:52 -0500] "GET /proyecto-chat/js/mdb.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:07:29 -0500] "GET /proyecto-chat/registro.jsp HTTP/1.1" 200 7589
0:0:0:0:0:0:0:1 - - [23/May/2018:18:07:29 -0500] "GET /proyecto-chat/css/mdb.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:07:29 -0500] "GET /proyecto-chat/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:07:29 -0500] "GET /proyecto-chat/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:07:29 -0500] "GET /proyecto-chat/js/fontawesome-all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:07:29 -0500] "GET /proyecto-chat/js/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:07:29 -0500] "GET /proyecto-chat/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:07:29 -0500] "GET /proyecto-chat/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:07:29 -0500] "GET /proyecto-chat/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:07:29 -0500] "GET /proyecto-chat/js/mdb.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:07:29 -0500] "GET /proyecto-chat/js/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/login.jsp HTTP/1.1" 200 5297
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/css/animate.css HTTP/1.1" 200 25425
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/css/estilo2.css HTTP/1.1" 200 8430
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/css/util.css HTTP/1.1" 200 86812
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/css/main.css HTTP/1.1" 200 10603
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/fonts/iconic/css/material-design-iconic-font.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/vendor/animsition/js/animsition.min.js HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/vendor/animsition/css/animsition.min.css HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/vendor/select2/select2.min.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/vendor/jquery/jquery-3.2.1.min.js HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/vendor/bootstrap/js/popper.js HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/vendor/select2/select2.min.js HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/vendor/daterangepicker/daterangepicker.js HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/vendor/daterangepicker/moment.min.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/vendor/countdowntime/countdowntime.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/js/main.js HTTP/1.1" 200 2462
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/fonts/poppins/Poppins-Regular.ttf HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/fonts/poppins/Poppins-Medium.ttf HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:44 -0500] "GET /proyecto-chat/fonts/poppins/Poppins-Bold.ttf HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:52 -0500] "GET /proyecto-chat/login.jsp HTTP/1.1" 200 5297
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/fonts/iconic/css/material-design-iconic-font.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/vendor/animsition/css/animsition.min.css HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/css/animate.css HTTP/1.1" 200 25425
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/vendor/select2/select2.min.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/css/estilo2.css HTTP/1.1" 200 8430
